Gene Id	FC	GO	GO term	Category	Gene Name	Product
16170	2,258,071,908	ID:GO:0002376	biological process	immune system process	Il16	interleukin 16
16994	2,227,329,235	ID:GO:0002376	biological process	immune system process	Ltb	lymphotoxin B
14469	2,640,857,829	ID:GO:0002376	biological process	immune system process	Gbp2	guanylate binding protein 2
14969	2,671,225,211	ID:GO:0002376	biological process	immune system process	H2-Eb1	histocompatibility 2, class II antigen E beta
229700	2,424,438,971	ID:GO:0002376	biological process	immune system process	Rbm15	RNA binding motif protein 15
55932	2,861,373,115	ID:GO:0002376	biological process	immune system process	Gbp3	guanylate binding protein 3
54396	3,038,046,535	ID:GO:0002376	biological process	immune system process	Irgm2	immunity-related GTPase family M member 2
56644	3,559,149,307	ID:GO:0002376	biological process	immune system process	Clec7a	C-type lectin domain family 7, member a
229900	295,514,276	ID:GO:0002376	biological process	immune system process	Gbp7	guanylate binding protein 7
12262	5,047,843,561	ID:GO:0002376	biological process	immune system process	C1qc	complement component 1, q subcomponent, C chain
56620	3,303,302,014	ID:GO:0002376	biological process	immune system process	Clec4n	C-type lectin domain family 4, member n
12176	1,865,499,528	ID:GO:0002376	biological process	immune system process	Bnip3	BCL2/adenovirus E1B interacting protein 3
16468	143,788,392	ID:GO:0002376	biological process	immune system process	Jarid2	jumonji, AT rich interactive domain 2
15251	2,843,180,781	ID:GO:0002376	biological process	immune system process	Hif1a	hypoxia inducible factor 1, alpha subunit
18034	1,222,500,142	ID:GO:0002376	biological process	immune system process	Nfkb2	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100
20345	2,967,841,895	ID:GO:0002376	biological process	immune system process	Selplg	selectin, platelet (p-selectin) ligand
18755	308,118,165	ID:GO:0002376	biological process	immune system process	Prkch	protein kinase C, eta
23880	3,030,029,557	ID:GO:0002376	biological process	immune system process	Fyb	FYN binding protein
16912	3,521,835,296	ID:GO:0002376	biological process	immune system process	Psmb9	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)
20303	6,677,122,663	ID:GO:0002376	biological process	immune system process	Ccl4	chemokine (C-C motif) ligand 4
110279	3,180,894,152	ID:GO:0002376	biological process	immune system process	Bcr	breakpoint cluster region
12263	3,921,773,755	ID:GO:0002376	biological process	immune system process	C2	complement component 2 (within H-2S)
22780	3,291,855,423	ID:GO:0002376	biological process	immune system process	Ikzf3	IKAROS family zinc finger 3
80285	2,497,849,632	ID:GO:0002376	biological process	immune system process	Parp9	poly (ADP-ribose) polymerase family, member 9
60505	573,269,858	ID:GO:0002376	biological process	immune system process	Il21	interleukin 21
17329	667,813,989	ID:GO:0002376	biological process	immune system process	Cxcl9	chemokine (C-X-C motif) ligand 9
23845	5,274,187,035	ID:GO:0002376	biological process	immune system process	Clec5a	C-type lectin domain family 5, member a
19713	1,569,927,667	ID:GO:0002376	biological process	immune system process	Ret	ret proto-oncogene
50794	1,719,580,859	ID:GO:0002376	biological process	immune system process	Klf13	Kruppel-like factor 13
19267	2,583,515,112	ID:GO:0002376	biological process	immune system process	Ptpre	protein tyrosine phosphatase, receptor type, E
56619	6,675,159,079	ID:GO:0002376	biological process	immune system process	Clec4e	C-type lectin domain family 4, member e
246746	3,640,725,663	ID:GO:0002376	biological process	immune system process	Cd300lf	CD300 antigen like family member F
229898	2,579,001,656	ID:GO:0002376	biological process	immune system process	Gbp5	guanylate binding protein 5
14375	1,465,779,782	ID:GO:0002376	biological process	immune system process	Xrcc6	X-ray repair complementing defective repair in Chinese hamster cells 6
13057	270,634,523	ID:GO:0002376	biological process	immune system process	Cyba	cytochrome b-245, alpha polypeptide
20302	2,604,355,328	ID:GO:0002376	biological process	immune system process	Ccl3	chemokine (C-C motif) ligand 3
16069	2,521,750,372	ID:GO:0002376	biological process	immune system process	Igj	immunoglobulin joining chain
17189	4,894,089,272	ID:GO:0002376	biological process	immune system process	Mb	myoglobin
21354	6,066,349,954	ID:GO:0002376	biological process	immune system process	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
60440	4,672,544,853	ID:GO:0002376	biological process	immune system process	Iigp1	interferon inducible GTPase 1
20846	2,345,012,698	ID:GO:0002376	biological process	immune system process	Stat1	signal transducer and activator of transcription 1
20390	138,742,682	ID:GO:0002376	biological process	immune system process	Sftpd	surfactant associated protein D
16196	4,021,712,605	ID:GO:0002376	biological process	immune system process	Il7	interleukin 7
13036	2,171,425,391	ID:GO:0002376	biological process	immune system process	Ctsh	cathepsin H
14964	2,005,944,475	ID:GO:0002376	biological process	immune system process	H2-D1	histocompatibility 2, D region locus 1
70809	3,388,395,789	ID:GO:0002376	biological process	immune system process	Clec2g	C-type lectin domain family 2, member g
109032	3,270,561,959	ID:GO:0002376	biological process	immune system process	Sp110	Sp110 nuclear body protein
