Gene Id	FC	GO	GO term	Category	Gene Name	Product
11556	4,050,244,191	ID:GO:0044710	biological process	single-organism metabolic process	Adrb3	adrenergic receptor, beta 3
107569	232,289,048	ID:GO:0044710	biological process	single-organism metabolic process	Nt5c3	5'-nucleotidase, cytosolic III
14359	102,394,434	ID:GO:0044710	biological process	single-organism metabolic process	Fxr1	fragile X mental retardation gene 1, autosomal homolog
71990	1,665,525,439	ID:GO:0044710	biological process	single-organism metabolic process	Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
12339	127,534,153	ID:GO:0044710	biological process	single-organism metabolic process	Capn7	calpain 7
13831	1,395,490,676	ID:GO:0044710	biological process	single-organism metabolic process	Epc1	enhancer of polycomb homolog 1 (Drosophila)
23874	1,890,305,753	ID:GO:0044710	biological process	single-organism metabolic process	Farsb	phenylalanyl-tRNA synthetase, beta subunit
56490	1,327,302,404	ID:GO:0044710	biological process	single-organism metabolic process	Zbtb20	zinc finger and BTB domain containing 20
380698	3,489,953,788	ID:GO:0044710	biological process	single-organism metabolic process	Obscn	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
13058	1,371,679,206	ID:GO:0044710	biological process	single-organism metabolic process	Cybb	cytochrome b-245, beta polypeptide
14912	1,578,388,471	ID:GO:0044710	biological process	single-organism metabolic process	Nkx6-2	NK6 homeobox 2
68278	2,561,485,482	ID:GO:0044710	biological process	single-organism metabolic process	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
67014	1,419,599,167	ID:GO:0044710	biological process	single-organism metabolic process	Mina	myc induced nuclear antigen
101831	1,874,614,269	ID:GO:0044710	biological process	single-organism metabolic process	C230052I12Rik	RIKEN cDNA C230052I12 gene
77622	1,894,801,768	ID:GO:0044710	biological process	single-organism metabolic process	Apex2	apurinic/apyrimidinic endonuclease 2
22084	1,168,178,149	ID:GO:0044710	biological process	single-organism metabolic process	Tsc2	tuberous sclerosis 2
15369	1,165,544,616	ID:GO:0044710	biological process	single-organism metabolic process	Hmox2	heme oxygenase (decycling) 2
71361	1,496,846,481	ID:GO:0044710	biological process	single-organism metabolic process	Aifm2	apoptosis-inducing factor, mitochondrion-associated 2
66922	2,033,329,882	ID:GO:0044710	biological process	single-organism metabolic process	Rras2	related RAS viral (r-ras) oncogene homolog 2
12326	2,633,911,466	ID:GO:0044710	biological process	single-organism metabolic process	Camk4	calcium/calmodulin-dependent protein kinase IV
17722	1,484,682,344	ID:GO:0044710	biological process	single-organism metabolic process	ND6	NADH dehydrogenase subunit 6
67087	3,579,286,044	ID:GO:0044710	biological process	single-organism metabolic process	Ctnnbip1	catenin beta interacting protein 1
17716	127,829,756	ID:GO:0044710	biological process	single-organism metabolic process	ND1	NADH dehydrogenase subunit 1
13134	2,969,918,204	ID:GO:0044710	biological process	single-organism metabolic process	Dach1	dachshund 1 (Drosophila)
69188	0.780021913	ID:GO:0044710	biological process	single-organism metabolic process	Mll5	myeloid/lymphoid or mixed-lineage leukemia 5
17777	2,082,370,209	ID:GO:0044710	biological process	single-organism metabolic process	Mttp	microsomal triglyceride transfer protein
93757	2,667,658,197	ID:GO:0044710	biological process	single-organism metabolic process	Immp2l	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)
