Gene Id	FC	GO	GO term	Category	Gene Name	Product
170758	2,648,255,664	ID:GO:0044237	biological process	cellular metabolic process	Rac3	RAS-related C3 botulinum substrate 3
76719	2,391,057,996	ID:GO:0044237	biological process	cellular metabolic process	Kansl1	KAT8 regulatory NSL complex subunit 1
432442	2,628,920,408	ID:GO:0044237	biological process	cellular metabolic process	Akap7	A kinase (PRKA) anchor protein 7
14359	1,023,275,789	ID:GO:0044237	biological process	cellular metabolic process	Fxr1	fragile X mental retardation gene 1, autosomal homolog
23874	1,362,823,557	ID:GO:0044237	biological process	cellular metabolic process	Farsb	phenylalanyl-tRNA synthetase, beta subunit
13831	1,384,769,845	ID:GO:0044237	biological process	cellular metabolic process	Epc1	enhancer of polycomb homolog 1 (Drosophila)
14158	2,142,252,094	ID:GO:0044237	biological process	cellular metabolic process	Fert2	fer (fms/fps related) protein kinase, testis specific 2
15531	2,080,607,214	ID:GO:0044237	biological process	cellular metabolic process	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
17717	2,710,264,259	ID:GO:0044237	biological process	cellular metabolic process	ND2	NADH dehydrogenase subunit 2
192231	2,296,285,761	ID:GO:0044237	biological process	cellular metabolic process	Hexim1	hexamethylene bis-acetamide inducible 1
16653	1,393,527,534	ID:GO:0044237	biological process	cellular metabolic process	Kras	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog
17747	1,524,080,472	ID:GO:0044237	biological process	cellular metabolic process	TrnY	tRNA
330962	2,405,811,814	ID:GO:0044237	biological process	cellular metabolic process	Ostb	organic solute transporter beta
13058	1,433,951,674	ID:GO:0044237	biological process	cellular metabolic process	Cybb	cytochrome b-245, beta polypeptide
21415	1,575,949,675	ID:GO:0044237	biological process	cellular metabolic process	Tcf7l1	transcription factor 7 like 1 (T cell specific, HMG box)
14912	1,241,913,839	ID:GO:0044237	biological process	cellular metabolic process	Nkx6-2	NK6 homeobox 2
434437	2,008,893,433	ID:GO:0044237	biological process	cellular metabolic process	Amt	aminomethyltransferase
71336	152,224,681	ID:GO:0044237	biological process	cellular metabolic process	Rbks	ribokinase
77622	1,549,736,596	ID:GO:0044237	biological process	cellular metabolic process	Apex2	apurinic/apyrimidinic endonuclease 2
102632	3,360,105,828	ID:GO:0044237	biological process	cellular metabolic process	Acad11	acyl-Coenzyme A dehydrogenase family, member 11
107589	1,804,996,448	ID:GO:0044237	biological process	cellular metabolic process	Mylk	myosin, light polypeptide kinase
71302	1,528,685,025	ID:GO:0044237	biological process	cellular metabolic process	Arhgap26	Rho GTPase activating protein 26
